region_id;country_id;title_ru;title_ua;title_be;title_en;title_es;title_pt;title_de;title_fr;title_it;title_pl;title_ja;title_lt;title_lv;title_cz
"3977860";"19";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory";"Northern Territory"
"4002131";"19";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales";"State of New South Wales"
"4293504";"20";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich";"Bundesland Oberösterreich"
"4290422";"20";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark";"Bundesland Steiermark"
"4288533";"20";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien";"Bundesland Wien"
"4001529";"19";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland";"State of Queensland"
"3977604";"19";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia";"State of South Australia"
"4299973";"20";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland";"Bundesland Burgenland"
"4296437";"20";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten";"Bundesland Kärnten"
"4294004";"20";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich";"Bundesland Niederösterreich"
"4291659";"20";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg";"Bundesland Salzburg"
"4007061";"19";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory";"Australian Capital Territory"
"5308503";"19";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)";"Heard Island and McDonald Islands (general)"
"4000719";"19";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania";"State of Tasmania"
"4000210";"19";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria";"State of Victoria"
"3977392";"19";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia";"State of Western Australia"
